iter	MultiClass
0	1.037687551
1	0.9832831326
2	0.934513372
3	0.8915344503
4	0.8549651799
5	0.821826696
6	0.7948455875
7	0.7665743457
8	0.7428968834
9	0.7195143037
10	0.6990862207
11	0.677317754
12	0.6587436623
13	0.6442820527
14	0.6327295607
15	0.6204425242
16	0.6079701512
17	0.5978564379
18	0.5878760746
19	0.5792636496
20	0.568768608
21	0.5588885372
22	0.5495488315
23	0.5399415675
24	0.5309829652
25	0.5215995941
26	0.5140320479
27	0.5082538829
28	0.5016107965
29	0.4950046289
30	0.4886298864
31	0.4828003496
32	0.4763451962
33	0.470408232
34	0.4651015546
35	0.4596851489
36	0.4544969867
37	0.4486813718
38	0.4443464174
39	0.4396696862
40	0.433976571
41	0.4302932102
42	0.427258362
43	0.42297891
44	0.4201750302
45	0.4155923199
46	0.4118457139
47	0.4082968568
48	0.4045725897
49	0.4005387448
50	0.3967913772
51	0.3935221311
52	0.3903421936
53	0.3860260355
54	0.38288276
55	0.3812400578
56	0.3755100032
57	0.3730892018
58	0.3708697412
59	0.3674054774
60	0.3645082342
61	0.3619583464
62	0.358195173
63	0.3554932616
64	0.3518445326
65	0.3499070068
66	0.3469523202
67	0.343339705
68	0.341310704
69	0.3393212466
70	0.3362773927
71	0.335175323
72	0.3328177555
73	0.3309874764
74	0.3296395861
75	0.3273740839
76	0.3252420243
77	0.3232699219
78	0.3209092531
79	0.3187950239
80	0.3165857425
81	0.3153681296
82	0.3128684239
83	0.3116187431
84	0.3089244107
85	0.3061378774
86	0.3042099917
87	0.3012544197
88	0.2988667142
89	0.2958195194
90	0.2935679946
91	0.2916227732
92	0.2892327069
93	0.2870231271
94	0.2844193449
95	0.2832992179
96	0.2817545585
97	0.2796706473
98	0.2779583374
99	0.2751858053
100	0.272762871
101	0.2714322174
102	0.2702348033
103	0.2686906611
104	0.2665481028
105	0.2654837292
106	0.2637316496
107	0.2617748677
108	0.2599859052
109	0.2584209766
110	0.2568667011
111	0.2554466697
112	0.2540586031
113	0.2515393965
114	0.2504109853
115	0.2492761022
116	0.2477758987
117	0.2465234762
118	0.2441829856
119	0.2435216096
120	0.2422419987
121	0.2404382842
122	0.2386794047
123	0.2370186831
124	0.2354139611
125	0.2337593827
126	0.23206026
127	0.2304699993
128	0.2292007802
129	0.2274852098
130	0.225714498
131	0.2249589316
132	0.2230716974
133	0.2213186664
134	0.2199560492
135	0.2187984139
136	0.2174563129
137	0.2162629003
138	0.2148766871
139	0.2140841622
140	0.2131849265
141	0.2122562058
142	0.2104054381
143	0.2091784655
144	0.208148433
145	0.2071909861
146	0.2065877748
147	0.2047036695
148	0.2030243185
149	0.2022898101
150	0.2016074359
151	0.1999824912
152	0.1994014675
153	0.1985146549
154	0.1970638843
155	0.19616528
156	0.1949914286
157	0.1934324662
158	0.19274607
159	0.1911811267
160	0.1898472117
161	0.1894065116
162	0.1880939076
163	0.1874451627
164	0.1862954817
165	0.1850470404
166	0.1836019121
167	0.1822553125
168	0.1805146907
169	0.1794844424
170	0.1784191037
171	0.1775200287
172	0.1768673842
173	0.1760355917
174	0.1749792027
175	0.1741061578
176	0.1728849362
177	0.1724126542
